Area,PSGC,Region,Province,Geography,Income_Class,Year,CPAB_M,CPAB_F,CPAB_Total,CPAB_Percent,BCG_M,BCG_F,BCG_Total,BCG_Percent,HEPA_B1_M,HEPA_B1_F,HEPA_B1_Total,HEPA_B1_Percent,DPT_1_M,DPT_1_F,DPT_1_Total,DPT_1_Percent,DPT_2_M,DPT_2_F,DPT_2_Total,DPT_2_Percent,DPT_3_M,DPT_3_F,DPT_3_Total,DPT_3_Percent,OPV_1_M,OPV_1_F,OPV_1_Total,OPV_1_Percent,OPV_2_M,OPV_2_F,OPV_2_Total,OPV_2_Percent,OPV_3_M,OPV_3_F,OPV_3_Total,OPV_3_Percent,IPV_1_M,IPV_1_F,IPV_1_Total,IPV_1_Percent,IPV_2_M,IPV_2_F,IPV_2_Total,IPV_2_Percent,PCV_1_M,PCV_1_F,PCV_1_Total,PCV_1_Percent,PCV_2_M,PCV_2_F,PCV_2_Total,PCV_2_Percent,PCV_3_M,PCV_3_F,PCV_3_Total,PCV_3_Percent,MCV_1_M,MCV_1_F,MCV_1_Total,MCV_1_Percent,MCV_2_M,MCV_2_F,MCV_2_Total,MCV_2_Percent,FIC_M,FIC_F,FIC_Total,FIC_Percent,CIC_M,CIC_F,CIC_Total,CIC_Percent
REGION 1,0100000000,REGION 1,,Region,,2018,38438.0,35392.0,73830.0,92.94040635464135,41545.0,37655.0,79200.0,56.54930244507618,39623.0,36836.0,76459.0,54.59221105616261,48161.0,44706.0,92867.0,66.30762714857184,49068.0,45979.0,95047.0,67.86416097849943,48016.0,45744.0,93760.0,66.94523481376694,44049.0,40825.0,84874.0,60.60057444095196,45336.0,41042.0,86378.0,61.674439982333205,44900.0,42765.0,87665.0,62.59336614706569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44990.0,41955.0,86945.0,62.079281579383185,45943.0,42976.0,88919.0,63.48873010244607,45465.0,43172.0,88637.0,63.28738031343708,48286.0,44869.0,93155.0,66.51326097564484,44281.0,41581.0,85862.0,61.30601270882741,47458.0,44158.0,91616.0,65.41440521222347,1785.0,1624.0,3409.0,2.4340476267078874
REGION 1,0100000000,REGION 1,,Region,,2019,30855.0,30005.0,60860.0,60.329774232166166,32119.0,30727.0,62846.0,62.298471761332806,28082.0,26964.0,55046.0,54.566427084847504,40432.0,37671.0,78103.0,77.42254940609389,42069.0,37948.0,80017.0,79.3198742151699,41767.0,38601.0,80368.0,79.66781622561174,41208.0,37648.0,78856.0,78.16898910370843,45118.0,41586.0,86704.0,85.94861559358749,42387.0,38919.0,81306.0,80.59764416234805,41406.0,38329.0,79735.0,79.04033106148158,0.0,0.0,0.0,0.0,41987.0,38170.0,80157.0,79.45865450423503,42656.0,38753.0,81409.0,80.69974680358882,41213.0,38314.0,79527.0,78.83414320344198,39337.0,35463.0,74800.0,74.14832587193607,37396.0,34854.0,72250.0,71.6205420353928,34849.0,32553.0,67402.0,66.81477888262346,2615.0,2549.0,5164.0,5.119010090944891
REGION 1,0100000000,REGION 1,,Region,,2020,31439.0,29974.0,61413.0,63.14247231675595,29399.0,27422.0,56821.0,58.421155447712856,27504.0,26366.0,53870.0,55.38705133609566,38876.0,36515.0,75391.0,77.51411151437884,39835.0,37110.0,76945.0,79.111874235305,40081.0,37267.0,77348.0,79.52622325495317,38906.0,36265.0,75171.0,77.28791601978182,41002.0,38392.0,79394.0,81.62984135470538,39989.0,37251.0,77240.0,79.41518183033281,39821.0,37073.0,76894.0,79.05943800701206,0.0,0.0,0.0,0.0,39140.0,36744.0,75884.0,78.02099505454396,40082.0,37561.0,77643.0,79.82953084998098,40176.0,37598.0,77774.0,79.9642199854001,42150.0,38744.0,80894.0,83.17208336332136,42887.0,39615.0,82502.0,84.82536679655772,42150.0,38744.0,80894.0,83.17208336332136,42887.0,39615.0,82502.0,84.82536679655772
REGION 1,0100000000,REGION 1,,Region,,2021,27744.0,26545.0,54289.0,55.85402991831108,26313.0,25087.0,51400.0,52.88174653799461,24216.0,23215.0,47431.0,48.798329183728065,34669.0,32302.0,66971.0,68.90162349019528,35304.0,33564.0,68868.0,70.85330973888352,35824.0,34007.0,69831.0,71.84407086565568,34693.0,32298.0,66991.0,68.92220004526843,35703.0,33804.0,69507.0,71.51073067347065,36175.0,34320.0,70495.0,72.52721249408424,35422.0,33759.0,69181.0,71.1753328257783,0.0,0.0,0.0,0.0,34121.0,32005.0,66126.0,68.0322640383547,34774.0,33226.0,68000.0,69.96028724870882,35180.0,33515.0,68695.0,70.67532253750078,38174.0,35631.0,73805.0,75.93263235869051,40358.0,37971.0,78329.0,80.58704911623697,38174.0,35631.0,73805.0,75.93263235869051,40358.0,37971.0,78329.0,80.58704911623697
REGION 1,0100000000,REGION 1,,Region,,2022,28924.0,28503.0,57427.0,59.14273061514537,25967.0,25129.0,51096.0,52.62258107704508,24408.0,23605.0,48013.0,49.44747113770482,37392.0,34574.0,71966.0,74.11610830183626,37591.0,34961.0,72552.0,74.71961606195738,37488.0,34813.0,72301.0,74.46111700429458,37342.0,34421.0,71763.0,73.90704332691377,37751.0,35297.0,73048.0,75.23043491694045,37860.0,35208.0,73068.0,75.25103245141557,38381.0,36867.0,75248.0,77.49616370920401,16364.0,14659.0,31023.0,31.949865601087552,37690.0,34786.0,72476.0,74.64134543095192,38040.0,35991.0,74031.0,76.24280373639274,37528.0,34878.0,72406.0,74.56925406028898,36978.0,33406.0,70384.0,72.48684332485401,105233.0,34366.0,71155.0,67.61662216224948,35656.0,33181.0,68837.0,65.41389107979437,1133.0,1186.0,2319.0,2.6023139160391864
REGION 1,0100000000,REGION 1,,Region,,2023,30420.0,29400.0,59820.0,62.30211631394768,25770.0,24620.0,50390.0,52.48083652724546,24779.0,23655.0,48434.0,50.443676053991005,38538.0,36300.0,74838.0,77.9432594567572,38964.0,37110.0,76074.0,79.2305449091818,39489.0,37414.0,76903.0,80.09394267622064,37908.0,36994.0,74902.0,78.0099150141643,36340.0,35653.0,71993.0,74.98021163139477,34692.0,33837.0,68529.0,71.37247958673555,37764.0,36749.0,74513.0,77.60477420429929,34634.0,32139.0,66773.0,69.54361773037827,38141.0,35761.0,73902.0,76.96842192967839,39446.0,37251.0,76697.0,79.87939510081652,39640.0,37719.0,77359.0,80.5688635227462,38498.0,35652.0,74150.0,77.2267122146309,39145.0,36995.0,76140.0,72.95479370676274,38229.0,36162.0,74391.0,71.27896058103214,916.0,833.0,1749.0,1.9501806342268408
REGION 1,0100000000,REGION 1,,Region,,2024,29267.0,28133.0,57400.0,59.77672248604515,31055.0,29653.0,60708.0,63.221694576355915,29032.0,27903.0,56935.0,59.29246854952929,36299.0,34555.0,70854.0,73.78780304923768,36624.0,34772.0,71396.0,74.35224527201532,36062.0,34388.0,70450.0,73.36707489794219,36402.0,34548.0,70950.0,73.88777805548614,37625.0,36043.0,73668.0,76.71832041989502,39721.0,37798.0,77519.0,80.7287761392985,38745.0,36736.0,75481.0,78.60639006914938,36370.0,34369.0,70739.0,73.66804132300258,32099.0,30884.0,62983.0,65.59089394318087,29771.0,28306.0,58077.0,60.48175456135966,29312.0,28077.0,57389.0,59.765267016579195,38282.0,36092.0,74374.0,77.45355327834707,104281.0,38813.0,79668.0,76.39742618501933,40149.0,38169.0,78318.0,75.10284711500657,755.0,699.0,1454.0,1.620796129708279
REGION 1,0100000000,REGION 1,,Region,,2025,28447.0,27229.0,55676.0,57.60400608361872,30592.0,29116.0,59708.0,56.88155550686393,30419.0,29221.0,59640.0,56.81677447627395,35234.0,32982.0,68216.0,64.98680562832836,36033.0,33988.0,70021.0,66.70636092560662,37207.0,35340.0,72547.0,69.11278567958159,22389.0,21280.0,43669.0,41.601806247558805,23653.0,22494.0,46147.0,43.962503215234975,24958.0,24033.0,48991.0,46.67187455343959,33324.0,31664.0,64988.0,61.91161199973325,33880.0,32013.0,65893.0,62.773771303908774,37223.0,34717.0,71940.0,68.53451971534453,40473.0,38433.0,78906.0,75.17076470195963,40750.0,38540.0,79290.0,75.53658699235012,37229.0,34922.0,72151.0,68.73553144261639,39223.0,37437.0,76660.0,73.03108536806104,38604.0,36812.0,75416.0,72.31998158820878,510.0,426.0,936.0,3.6051303778453954
ILOCOS NORTE,0102800000,REGION 1,Ilocos Norte,Province,1st,2018,3327.0,2991.0,6318.0,96.41385624904623,4275.0,3099.0,7374.0,55.32641685596494,3347.0,2987.0,6334.0,47.523396306710325,3723.0,3490.0,7213.0,54.118449251705336,3775.0,3608.0,7383.0,55.39394299533349,3819.0,3573.0,7392.0,55.46146913470204,3722.0,3484.0,7206.0,54.06592892108535,4930.0,3600.0,8530.0,63.99977431263642,3808.0,3584.0,7392.0,55.46146913470204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3723.0,3476.0,7199.0,54.013408590465374,3772.0,3576.0,7348.0,55.131341342233576,3844.0,3584.0,7428.0,55.73157369217624,4059.0,3696.0,7755.0,58.18502342256687,3861.0,3617.0,7478.0,56.10671891089041,4198.0,3686.0,7884.0,59.15289808684941,11.0,11.0,22.0,0.16506389623423226
ILOCOS NORTE,0102800000,REGION 1,Ilocos Norte,Province,1st,2019,2798.0,2728.0,5526.0,61.71974435828955,2786.0,2676.0,5462.0,61.00493009138211,2741.0,2658.0,5399.0,60.30128479739509,2775.0,3045.0,5820.0,65.00342239689562,3414.0,3093.0,6507.0,72.6765067932302,3386.0,3069.0,6455.0,72.09572020136791,3342.0,3026.0,6368.0,71.1240195572906,6456.0,6435.0,12891.0,143.97922991724766,3426.0,3081.0,6507.0,72.6765067932302,3463.0,3102.0,6565.0,73.32430722261508,0.0,0.0,0.0,0.0,3319.0,3045.0,6364.0,71.07934366560889,3441.0,3102.0,6543.0,73.07858981836563,3468.0,3043.0,6511.0,72.72118268491192,3336.0,2994.0,6330.0,70.69959858631431,3204.0,2958.0,6162.0,68.82321113568226,3232.0,2977.0,6209.0,69.34815286294243,34.0,20.0,54.0,0.6031245377031552
