PSGC,Area,Level,Income
1380100000,CITY OF CALOOCAN,City,1st
1380200000,CITY OF LAS PINAS,City,1st
1380300000,CITY OF MAKATI,City,1st
1380400000,CITY OF MALABON,City,1st
1380500000,CITY OF MANDALUYONG,City,1st
1380600000,CITY OF MANILA,City,1st
1380700000,CITY OF MARIKINA,City,1st
1380800000,CITY OF MUNTINLUPA,City,1st
1380900000,CITY OF NAVOTAS,City,2nd
1381000000,CITY OF PARANAQUE,City,1st
1381100000,CITY OF PASAY,City,1st
1381200000,CITY OF PASIG,City,1st
1381300000,CITY OF QUEZON,City,1st
1381400000,CITY OF SAN JUAN,City,1st
1381500000,CITY OF TAGUIG,City,1st
1381600000,CITY OF VALENZUELA,City,1st
1381701000,PATEROS,Mun,1st
1400100000,ABRA,Prov,3rd
1400101000,BANGUED,Mun,1st
1400102000,BOLINEY,Mun,5th
1400103000,BUCAY,Mun,5th
1400104000,BUCLOC,Mun,6th
1400105000,DAGUIOMAN,Mun,5th
1400106000,DANGLAS,Mun,5th
1400107000,DOLORES,Mun,5th
1400108000,LA PAZ,Mun,5th
1400109000,LACUB,Mun,5th
1400110000,LAGANGILANG,Mun,5th
1400111000,LAGAYAN,Mun,5th
1400112000,LANGIDEN,Mun,5th
1400113000,LICUAN-BAAY,Mun,5th
1400114000,LUBA,Mun,5th
1400115000,MALIBCONG,Mun,5th
1400116000,MANABO,Mun,5th
1400117000,PENARRUBIA,Mun,6th
1400118000,PIDIGAN,Mun,5th
1400119000,PILAR,Mun,5th
1400120000,SALLAPADAN,Mun,5th
1400121000,SAN ISIDRO,Mun,5th
1400122000,SAN JUAN,Mun,5th
1400123000,SAN QUINTIN,Mun,5th
1400124000,TAYUM,Mun,5th
1400125000,TINEG,Mun,2nd
1400126000,TUBO,Mun,4th
1400127000,VILLAVICIOSA,Mun,5th
1401100000,BENGUET,Prov,2nd
1401101000,ATOK,Mun,4th
1401103000,BAKUN,Mun,3rd
1401104000,BOKOD,Mun,4th
1401105000,BUGUIAS,Mun,3rd
1401106000,ITOGON,Mun,1st
1401107000,KABAYAN,Mun,4th
1401108000,KAPANGAN,Mun,4th
1401109000,KIBUNGAN,Mun,4th
1401110000,LA TRINIDAD,Mun,1st
1401111000,MANKAYAN,Mun,1st
1401112000,SABLAN,Mun,5th
1401113000,TUBA,Mun,1st
1401114000,TUBLAY,Mun,5th
1402700000,IFUGAO,Prov,3rd
1402701000,BANAUE,Mun,4th
1402702000,HUNGDUAN,Mun,4th
1402703000,KIANGAN,Mun,4th
1402704000,LAGAWE,Mun,4th
1402705000,LAMUT,Mun,4th
1402706000,MAYOYAO,Mun,4th
1402707000,ALFONSO LISTA,Mun,3rd
1402708000,AGUINALDO,Mun,2nd
1402709000,HINGYON,Mun,5th
1402710000,TINOC,Mun,4th
1402711000,ASIPULO,Mun,5th
1403200000,KALINGA,Prov,3rd
1403201000,BALBALAN,Mun,3rd
1403206000,LUBUAGAN,Mun,4th
1403208000,PASIL,Mun,5th
1403209000,PINUKPUK,Mun,1st
1403211000,RIZAL,Mun,4th
1403213000,CITY OF TABUK,City,5th
1403214000,TANUDAN,Mun,4th
1403215000,TINGLAYAN,Mun,4th
1404400000,MOUNTAIN PROVINCE,Prov,4th
1404401000,BARLIG,Mun,5th
1404402000,BAUKO,Mun,4th
1404403000,BESAO,Mun,5th
1404404000,BONTOC,Mun,2nd
1404405000,NATONIN,Mun,4th
1404406000,PARACELIS,Mun,2nd
1404407000,SABANGAN,Mun,5th
1404408000,SADANGA,Mun,5th
1404409000,SAGADA,Mun,5th
1404410000,TADIAN,Mun,4th
1408100000,APAYAO,Prov,3rd
1408101000,CALANASAN,Mun,1st
1408102000,CONNER,Mun,2nd
1408103000,FLORA,Mun,3rd
1408104000,KABUGAO,Mun,1st
1408105000,LUNA,Mun,2nd
1408106000,PUDTOL,Mun,4th
1408107000,SANTA MARCELA,Mun,4th
1430300000,CITY OF BAGUIO,City,1st
0102800000,ILOCOS NORTE,Prov,1st
0102801000,ADAMS,Mun,5th
0102802000,BACARRA,Mun,3rd
0102803000,BADOC,Mun,3rd
0102804000,BANGUI,Mun,4th
0102805000,CITY OF BATAC,City,5th
0102806000,BURGOS,Mun,5th
0102807000,CARASI,Mun,5th
0102808000,CURRIMAO,Mun,4th
0102809000,DINGRAS,Mun,2nd
0102810000,DUMALNEG,Mun,5th
0102811000,BANNA,Mun,4th
0102812000,CITY OF LAOAG,City,3rd
0102813000,MARCOS,Mun,4th
0102814000,NUEVA ERA,Mun,3rd
0102815000,PAGUDPUD,Mun,4th
0102816000,PAOAY,Mun,4th
0102817000,PASUQUIN,Mun,3rd
0102818000,PIDDIG,Mun,3rd
0102819000,PINILI,Mun,3rd
0102820000,SAN NICOLAS,Mun,2nd
0102821000,SARRAT,Mun,4th
0102822000,SOLSONA,Mun,3rd
